"path","ratio","sub_h","method","parameter","estimate","truth"
144,100,0.01,"random","sigma",1.66821214650683,1.7
145,100,0.01,"random","epsilon",0.106823930286977,0.1
145,100,0.01,"random","y",-0.0498331582796448,-0.05
145,100,0.01,"random","sigma",1.67399562467847,1.7
146,100,0.01,"random","epsilon",0.0848173307544502,0.1
146,100,0.01,"random","y",-0.0412447505709279,-0.05
146,100,0.01,"random","sigma",1.67665978514691,1.7
147,100,0.01,"random","epsilon",0.0974247181132516,0.1
147,100,0.01,"random","y",-0.0575891740773066,-0.05
147,100,0.01,"random","sigma",1.6980680760487,1.7
148,100,0.01,"random","epsilon",0.112688294330192,0.1
148,100,0.01,"random","y",-0.0613176968776584,-0.05
148,100,0.01,"random","sigma",1.71687152553058,1.7
149,100,0.01,"random","epsilon",0.100958468389492,0.1
149,100,0.01,"random","y",-0.0497046795156817,-0.05
149,100,0.01,"random","sigma",1.70971308633715,1.7
150,100,0.01,"random","epsilon",0.100433676295593,0.1
150,100,0.01,"random","y",-0.106444005166491,-0.05
150,100,0.01,"random","sigma",1.6722934532973,1.7
151,100,0.01,"random","epsilon",0.0954951105228841,0.1
151,100,0.01,"random","y",-0.0766362112029575,-0.05
151,100,0.01,"random","sigma",1.67164242262056,1.7
152,100,0.01,"random","epsilon",0.0924318214439701,0.1
152,100,0.01,"random","y",-0.0199720592288333,-0.05
152,100,0.01,"random","sigma",1.64545844797781,1.7
153,100,0.01,"random","epsilon",0.0990408120927691,0.1
153,100,0.01,"random","y",-0.033979382934737,-0.05
153,100,0.01,"random","sigma",1.66500646766633,1.7
154,100,0.01,"random","epsilon",0.101059107570427,0.1
154,100,0.01,"random","y",-0.0687844031564699,-0.05
154,100,0.01,"random","sigma",1.696008863332,1.7
155,100,0.01,"random","epsilon",0.105504722584145,0.1
155,100,0.01,"random","y",-0.0638187005719153,-0.05
155,100,0.01,"random","sigma",1.69262695962575,1.7
156,100,0.01,"random","epsilon",0.0950334787221812,0.1
156,100,0.01,"random","y",-0.10339766916608,-0.05
156,100,0.01,"random","sigma",1.72411848639888,1.7
157,100,0.01,"random","epsilon",0.0863239665825169,0.1
157,100,0.01,"random","y",-0.0416902213912082,-0.05
157,100,0.01,"random","sigma",1.67321507085988,1.7
158,100,0.01,"random","epsilon",0.0971164473820003,0.1
158,100,0.01,"random","y",-0.0778288428419039,-0.05
158,100,0.01,"random","sigma",1.69292643991581,1.7
159,100,0.01,"random","epsilon",0.0919169403831247,0.1
159,100,0.01,"random","y",-0.0452990157075795,-0.05
159,100,0.01,"random","sigma",1.69360050241647,1.7
160,100,0.01,"random","epsilon",0.0940752990459004,0.1
160,100,0.01,"random","y",-0.0882596638081741,-0.05
160,100,0.01,"random","sigma",1.71506869079922,1.7
161,100,0.01,"random","epsilon",0.103466121492316,0.1
161,100,0.01,"random","y",-0.120582390287387,-0.05
161,100,0.01,"random","sigma",1.68904009078277,1.7
162,100,0.01,"random","epsilon",0.101515629651277,0.1
162,100,0.01,"random","y",0.0075359341564495,-0.05
162,100,0.01,"random","sigma",1.64509504185422,1.7
163,100,0.01,"random","epsilon",0.0986589034536721,0.1
163,100,0.01,"random","y",0.0104318154755707,-0.05
163,100,0.01,"random","sigma",1.73694795073562,1.7
164,100,0.01,"random","epsilon",0.1107121328708,0.1
164,100,0.01,"random","y",-0.0594573677507548,-0.05
164,100,0.01,"random","sigma",1.62797505959869,1.7
165,100,0.01,"random","epsilon",0.110337212116456,0.1
165,100,0.01,"random","y",-0.0825010546972652,-0.05
165,100,0.01,"random","sigma",1.70633208813017,1.7
166,100,0.01,"random","epsilon",0.114128307330119,0.1
166,100,0.01,"random","y",-0.0543129825794776,-0.05
166,100,0.01,"random","sigma",1.6465393317286,1.7
